round_epochs,val_loss,val_acc,loss,acc,activation,batch_size,first_neuron,fourth_neuron,loss,optimizer,second_neuron,third_neuron
100,0.584034324,0.75,0.446155956,0.629629619,<function linear at 0x000001AA17118048>,20,8,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,36
100,0.584118068,0.75,0.446269136,0.666666675,<function linear at 0x000001AA17118048>,10,24,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,36
100,0.584427476,0.75,0.445651893,0.666666653,<function linear at 0x000001AA17118048>,20,24,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,84
100,0.585506916,0.75,0.447577053,0.666666687,<function linear at 0x000001AA17118048>,20,24,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,36
100,0.585856557,0.75,0.443673642,0.629629652,<function linear at 0x000001AA17118048>,20,12,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,62
100,0.586012959,0.75,0.445401084,0.629629622,<function linear at 0x000001AA17118048>,20,24,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,48
100,0.586980343,0.75,0.445737926,0.629629652,<function linear at 0x000001AA17118048>,20,8,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,84
100,0.588410735,0.75,0.374296529,0.592592598,<function relu at 0x000001AA17107D08>,10,8,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,48
100,0.58888185,0.75,0.444052362,0.629629641,<function linear at 0x000001AA17118048>,10,12,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,36
100,0.589374483,0.75,0.445963449,0.666666675,<function linear at 0x000001AA17118048>,10,24,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,84
100,0.590815485,0.75,0.447884517,0.70370371,<function linear at 0x000001AA17118048>,20,8,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,62
100,0.591252804,0.75,0.449132784,0.629629641,<function linear at 0x000001AA17118048>,10,8,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,62
100,0.592145205,0.75,0.44530425,0.629629644,<function linear at 0x000001AA17118048>,10,8,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,36
100,0.592225432,0.75,0.450563196,0.629629652,<function linear at 0x000001AA17118048>,20,24,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,84
100,0.592686296,0.75,0.457398909,0.62962963,<function linear at 0x000001AA17118048>,10,8,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,84
100,0.592856407,0.75,0.447163211,0.629629641,<function linear at 0x000001AA17118048>,20,8,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,36
100,0.593162179,0.75,0.445117179,0.629629622,<function linear at 0x000001AA17118048>,20,24,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,36
100,0.593766689,0.75,0.44696646,0.629629641,<function linear at 0x000001AA17118048>,10,8,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,84
100,0.594702303,0.75,0.449226222,0.629629622,<function linear at 0x000001AA17118048>,10,24,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,62
100,0.595406413,0.75,0.45344245,0.629629641,<function linear at 0x000001AA17118048>,10,8,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,62
100,0.59656775,0.75,0.446993421,0.703703699,<function linear at 0x000001AA17118048>,10,24,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,84
100,0.596717715,0.75,0.445702946,0.62962963,<function linear at 0x000001AA17118048>,10,24,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,36
100,0.597354114,0.75,0.451086412,0.629629619,<function linear at 0x000001AA17118048>,20,24,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,84
100,0.597498178,0.75,0.445862154,0.62962963,<function linear at 0x000001AA17118048>,10,12,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,48
100,0.59872514,0.75,0.447127716,0.629629619,<function linear at 0x000001AA17118048>,20,8,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,48
100,0.598796844,0.75,0.453653614,0.666666675,<function linear at 0x000001AA17118048>,10,24,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,84
100,0.600148082,0.75,0.444823934,0.629629619,<function linear at 0x000001AA17118048>,20,8,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,84
100,0.60050571,0.75,0.444010001,0.629629619,<function linear at 0x000001AA17118048>,20,24,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,84
100,0.600723028,0.75,0.44753116,0.703703699,<function linear at 0x000001AA17118048>,10,12,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,62
100,0.601197124,0.75,0.450079673,0.703703688,<function linear at 0x000001AA17118048>,20,12,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,48
100,0.601707697,0.75,0.450912729,0.629629641,<function linear at 0x000001AA17118048>,10,12,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,62
100,0.601837695,0.75,0.446810668,0.629629652,<function linear at 0x000001AA17118048>,10,12,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,36
100,0.602804184,0.75,0.447419164,0.629629644,<function linear at 0x000001AA17118048>,10,12,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,84
100,0.603130281,0.75,0.443183073,0.629629652,<function linear at 0x000001AA17118048>,20,24,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,48
100,0.603879094,0.75,0.448737838,0.629629641,<function linear at 0x000001AA17118048>,10,8,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,48
100,0.603979111,0.75,0.447332181,0.703703699,<function linear at 0x000001AA17118048>,10,24,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,36
100,0.605000019,0.75,0.445845875,0.629629619,<function linear at 0x000001AA17118048>,20,12,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,36
100,0.605259955,0.75,0.446077023,0.666666668,<function linear at 0x000001AA17118048>,20,24,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,48
100,0.605564594,0.75,0.444747866,0.629629652,<function linear at 0x000001AA17118048>,20,12,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,84
100,0.6056633,0.75,0.444981218,0.629629652,<function linear at 0x000001AA17118048>,20,24,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,84
100,0.606172442,0.75,0.449380369,0.666666664,<function linear at 0x000001AA17118048>,20,12,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,84
100,0.607192755,0.75,0.443719411,0.62962963,<function linear at 0x000001AA17118048>,10,24,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,36
100,0.607644796,0.75,0.45206034,0.629629619,<function linear at 0x000001AA17118048>,20,12,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,48
100,0.607827723,0.75,0.447564065,0.629629652,<function linear at 0x000001AA17118048>,10,24,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,62
100,0.608544409,0.75,0.444679622,0.629629652,<function linear at 0x000001AA17118048>,20,24,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,48
100,0.608776212,0.75,0.447741944,0.666666675,<function linear at 0x000001AA17118048>,10,24,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,48
100,0.609023571,0.75,0.448742039,0.629629641,<function linear at 0x000001AA17118048>,10,24,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,62
100,0.609303057,0.75,0.445600735,0.629629641,<function linear at 0x000001AA17118048>,10,8,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,36
