round_epochs,val_loss,val_acc,loss,acc,activation,batch_size,first_neuron,fourth_neuron,loss,optimizer,second_neuron,third_neuron
100,0.506510735,0.5,0.210984525,0.62962963,<function relu at 0x000001AA17107D08>,10,24,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,48
100,0.50770551,0.5,0.283780307,0.555555582,<function relu at 0x000001AA17107D08>,30,8,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,36
100,0.507790565,0.75,0.219314698,0.629629652,<function relu at 0x000001AA17107D08>,20,24,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,84
100,0.508062959,0.5,0.249924427,0.592592617,<function relu at 0x000001AA17107D08>,20,8,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,62
100,0.508555412,0.5,0.243346756,0.592592617,<function relu at 0x000001AA17107D08>,20,8,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,62
100,0.508727551,0.5,0.381225616,0.592592597,<function relu at 0x000001AA17107D08>,30,8,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,48
100,0.508893013,0.5,0.222849354,0.592592597,<function relu at 0x000001AA17107D08>,30,8,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,84
100,0.509237409,0.5,0.271231681,0.592592597,<function relu at 0x000001AA17107D08>,30,24,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,48
100,0.510328054,0.5,0.231330842,0.592592576,<function relu at 0x000001AA17107D08>,20,24,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,36
100,0.515163302,0.5,0.267972654,0.555555574,<function relu at 0x000001AA17107D08>,20,8,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,48
100,0.515576482,0.5,0.253338861,0.592592595,<function relu at 0x000001AA17107D08>,20,8,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,48
100,0.515785396,0.5,0.225072778,0.518518528,<function relu at 0x000001AA17107D08>,20,24,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,36
100,0.516703427,0.5,0.295225896,0.592592606,<function relu at 0x000001AA17107D08>,20,8,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,84
100,0.517800689,0.25,0.207902849,0.592592597,<function relu at 0x000001AA17107D08>,30,24,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,84
100,0.518686593,0.5,0.235504353,0.518518539,<function relu at 0x000001AA17107D08>,10,12,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,62
100,0.519091547,0.5,0.227839857,0.592592597,<function relu at 0x000001AA17107D08>,30,12,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,62
